emoji_1,emoji_2,emoji_3,emoji_4,emoji_5,emoji_6,emoji_7,emoji_8,emoji_9,emoji_10,emoji_11,emoji_12,emoji_13,label
198,26,179,195,184,106,34,16,34,106,16,40,117,1
135,16,179,106,198,193,26,34,117,16,56,34,106,1
110,26,16,1,198,179,34,106,34,16,117,45,106,0
34,211,106,72,198,179,16,26,117,34,16,154,106,1
106,53,34,26,64,16,198,179,16,51,106,117,34,0
106,34,42,198,179,194,16,26,16,117,34,106,66,0
198,26,143,106,34,53,179,16,117,197,16,106,34,0
179,34,106,26,136,198,172,16,34,106,117,16,72,0
198,106,58,176,16,179,26,34,16,117,204,106,34,1
179,103,34,106,16,209,198,26,16,94,34,117,106,0
34,179,144,16,208,106,198,26,106,117,16,34,75,1
106,16,134,116,34,198,179,26,34,16,105,106,117,1
198,179,26,186,16,46,106,34,34,16,117,175,106,0
198,34,179,26,16,106,18,42,16,34,195,117,106,0
16,179,106,26,122,203,198,34,89,16,117,34,106,1
179,34,26,106,16,187,198,210,106,16,117,34,149,1
16,106,26,179,29,122,34,198,206,117,34,106,16,1
16,26,198,27,179,34,106,208,106,34,105,117,16,1
26,16,198,106,22,179,105,34,175,106,34,16,117,0
34,198,164,16,75,26,179,106,16,117,20,106,34,0
198,26,170,106,16,179,58,34,106,117,193,34,16,0
132,16,26,179,185,34,198,106,34,40,117,16,106,1
16,167,106,107,34,179,26,198,106,117,16,105,34,1
124,106,179,34,69,198,26,16,16,34,117,45,106,1
26,90,179,16,153,34,198,106,106,117,20,34,16,0
179,127,106,26,16,76,34,198,195,117,34,106,16,0
140,16,34,106,179,26,198,12,106,34,117,156,16,0
198,179,26,16,194,34,106,119,34,106,125,16,117,0
26,106,16,198,179,34,122,14,75,34,16,106,117,1
198,34,26,179,96,106,187,16,168,34,117,16,106,1
198,106,159,39,16,34,26,179,34,16,117,106,213,0
34,106,179,43,16,26,165,198,117,16,34,167,106,0
198,34,16,179,2,106,26,80,154,16,106,117,34,1
65,34,188,179,106,26,16,198,16,117,212,34,106,0
179,99,198,106,34,94,16,26,34,33,106,16,117,1
34,125,179,106,16,198,13,26,117,80,34,106,16,0
111,34,32,198,16,179,106,26,80,34,16,106,117,1
16,26,27,167,106,198,179,34,34,117,16,189,106,0
163,179,106,16,189,34,26,198,34,63,16,106,117,1
169,34,179,26,16,89,198,106,106,117,34,16,204,0
26,198,16,34,179,112,106,10,117,18,16,106,34,1
16,179,106,34,161,118,26,198,106,16,167,117,34,0
198,179,26,106,74,34,16,183,34,117,62,106,16,1
16,26,14,72,34,179,106,198,34,16,117,89,106,0
26,16,178,198,34,30,179,106,117,75,16,34,106,1
16,34,152,179,26,106,91,198,183,106,34,16,117,0
106,212,179,198,34,16,96,26,34,58,16,106,117,0
133,179,16,198,26,106,160,34,1,117,34,106,16,1
198,186,106,34,26,57,179,16,16,6,117,106,34,0
198,179,26,0,34,16,106,194,106,34,16,56,117,1
144,26,179,194,198,16,106,34,117,16,34,212,106,0
34,26,179,50,106,198,77,16,105,16,106,34,117,1
198,106,26,78,16,34,143,179,16,32,34,106,117,1
198,34,26,45,106,16,179,144,16,117,106,34,83,1
179,26,63,34,106,16,127,198,34,9,117,16,106,0
56,34,106,16,135,198,179,26,117,34,18,106,16,0
133,16,106,26,179,198,34,90,117,32,34,106,16,0
106,179,34,26,44,197,16,198,106,117,122,34,16,1
51,34,26,179,198,191,16,106,16,7,34,106,117,0
34,179,53,106,120,26,198,16,178,34,117,16,106,0
34,179,42,16,198,55,106,26,34,16,117,106,5,1
198,16,179,26,106,80,29,34,16,34,106,117,206,0
169,153,198,179,16,106,26,34,34,16,106,117,183,0
179,198,34,118,16,164,26,106,16,106,117,154,34,1
73,34,179,1,26,198,16,106,16,34,106,136,117,1
34,26,106,198,10,179,49,16,106,16,104,34,117,1
106,34,113,26,198,16,179,152,16,149,106,34,117,0
16,26,106,153,90,198,179,34,106,34,150,117,16,0
179,106,16,26,198,149,34,190,188,16,117,106,34,1
179,34,27,198,16,106,26,118,106,117,41,34,16,1
198,179,139,26,8,34,106,16,34,117,16,106,213,0
34,118,26,179,198,82,16,106,117,16,34,63,106,1
179,106,16,198,48,26,34,2,199,106,117,16,34,1
53,16,198,145,179,34,26,106,106,117,16,188,34,0
106,26,67,16,34,198,179,108,34,106,189,117,16,0
24,34,26,198,179,106,187,16,122,16,106,117,34,1
198,39,34,76,106,179,16,26,16,156,106,34,117,0
106,38,16,34,193,198,179,26,117,194,34,16,106,1
26,78,34,198,106,131,179,16,106,80,16,34,117,1
34,26,16,179,198,183,106,39,75,34,106,16,117,1
26,198,70,179,106,37,34,16,16,32,106,34,117,0
179,16,198,137,182,26,106,34,117,34,154,106,16,1
34,49,179,16,106,26,152,198,106,16,34,117,83,0
98,26,34,106,179,198,16,167,117,16,34,106,187,0
26,152,34,198,211,106,179,16,117,106,34,18,16,1
108,179,198,118,16,106,34,26,76,16,106,34,117,1
34,198,106,32,147,179,26,16,178,34,117,16,106,0
102,26,179,106,8,16,34,198,9,16,117,34,106,0
198,58,34,179,106,141,26,16,106,16,34,187,117,0
34,26,52,179,198,106,16,1,106,34,117,16,153,0
148,179,16,198,208,26,34,106,117,16,34,181,106,1
46,179,106,34,16,66,198,26,16,106,117,34,136,1
185,70,16,26,34,179,106,198,106,34,199,117,16,1
34,106,179,198,16,74,26,19,20,106,16,34,117,0
188,34,198,106,26,16,203,179,34,106,188,117,16,0
26,106,16,198,59,150,179,34,106,16,181,117,34,1
16,106,34,92,198,42,179,26,106,37,117,34,16,1
198,34,12,26,82,179,106,16,117,185,106,34,16,0
106,34,26,179,16,149,38,198,34,117,150,16,106,1
34,179,139,78,16,106,26,198,117,62,106,16,34,1
92,179,198,106,16,163,26,34,16,34,117,199,106,1
106,34,198,179,26,16,63,173,16,117,106,34,206,0
179,30,198,34,16,26,32,106,106,45,16,34,117,0
194,26,106,179,16,34,198,196,106,180,34,16,117,0
179,106,152,26,46,16,198,34,117,204,16,34,106,0
179,34,16,91,26,106,104,198,106,20,34,16,117,0
106,179,16,198,26,63,110,34,34,117,106,16,77,1
34,26,52,179,106,62,16,198,199,34,16,117,106,0
26,106,34,16,56,198,179,173,124,117,34,16,106,0
106,26,198,179,34,16,61,154,117,34,56,16,106,0
26,179,106,34,198,16,212,192,34,33,16,106,117,1
106,9,26,86,16,179,198,34,34,16,106,117,89,1
75,110,26,179,16,34,198,106,106,16,117,206,34,0
16,34,106,26,35,179,118,198,124,34,117,106,16,0
34,198,179,26,17,16,73,106,34,8,16,106,117,1
106,198,16,26,194,34,179,147,34,181,106,16,117,1
179,202,16,186,106,198,34,26,16,117,106,19,34,0
103,198,34,141,106,26,16,179,117,187,34,16,106,0
106,179,16,150,34,198,64,26,106,34,117,16,48,0
34,13,104,26,106,198,179,16,106,117,80,34,16,0
179,194,106,198,34,79,16,26,168,34,16,106,117,0
106,179,34,198,180,147,16,26,117,106,34,168,16,1
198,66,16,106,34,179,26,74,117,106,150,16,34,1
106,34,28,16,179,26,43,198,117,106,16,136,34,1
34,26,104,179,16,198,172,106,149,117,106,34,16,0
78,198,106,26,34,179,99,16,34,16,106,117,181,1
34,48,198,110,106,26,179,16,106,193,34,117,16,1
179,16,26,206,106,127,34,198,58,117,34,106,16,1
175,179,106,34,26,198,27,16,134,34,106,16,117,1
83,26,198,88,179,34,106,16,16,34,168,106,117,1
175,16,179,98,34,106,26,198,204,34,117,16,106,1
106,8,26,198,147,179,16,34,117,34,106,16,153,0
106,198,16,179,26,3,34,17,117,167,106,34,16,0
209,150,26,179,34,16,198,106,117,83,34,16,106,0
33,26,16,198,179,34,106,130,106,117,207,34,16,0
198,16,200,34,106,36,26,179,16,34,117,103,106,1
26,198,139,179,106,133,16,34,117,16,89,34,106,0
106,16,198,179,26,153,31,34,34,106,128,117,16,0
119,106,77,16,179,34,26,198,189,34,117,16,106,0
3,198,34,16,118,106,179,26,106,105,34,16,117,1
198,106,180,179,16,79,34,26,34,78,106,117,16,0
179,112,26,34,16,198,114,106,106,34,16,204,117,1
179,16,198,34,26,123,114,106,106,34,16,117,100,1
198,26,83,16,49,106,34,179,34,106,16,80,117,1
34,106,179,35,16,78,198,26,117,48,34,106,16,0
26,198,34,179,16,81,20,106,34,16,106,117,41,1
34,197,54,179,106,198,16,26,16,34,187,106,117,1
17,179,49,34,16,198,106,26,106,34,180,16,117,0
16,106,179,198,186,15,34,26,34,16,117,197,106,0
16,139,204,34,198,106,179,26,117,106,34,92,16,0
158,16,198,106,159,34,179,26,34,16,106,117,17,0
34,16,114,198,106,158,179,26,16,34,117,189,106,0
179,26,16,170,103,106,198,34,34,117,106,16,182,1
34,128,198,16,26,106,179,190,16,117,34,106,5,0
26,175,109,34,179,16,198,106,48,16,34,117,106,0
16,26,170,198,106,153,34,179,16,34,133,117,106,1
106,34,198,114,16,26,179,205,106,16,117,34,185,0
16,106,26,139,179,124,198,34,117,34,189,16,106,0
60,16,198,179,34,53,106,26,16,34,149,117,106,0
198,72,34,108,106,16,26,179,117,16,8,106,34,0
67,198,16,127,34,179,26,106,37,16,34,117,106,1
26,29,198,118,34,16,106,179,34,117,106,16,25,1
198,182,2,34,106,179,16,26,34,206,16,117,106,0
66,198,16,179,26,106,34,110,75,34,16,117,106,1
198,106,16,34,26,179,121,9,34,16,134,117,106,0
12,34,198,179,26,106,16,87,106,34,117,16,43,1
26,179,170,122,106,34,198,16,34,117,16,106,124,1
16,106,191,26,198,34,179,149,34,117,106,149,16,0
26,16,141,179,34,198,207,106,117,12,16,34,106,1
198,106,34,13,36,16,26,179,106,117,75,16,34,1
34,179,38,106,16,78,198,26,106,16,34,117,8,1
34,13,26,106,198,16,179,80,106,34,19,16,117,0
198,189,26,34,28,106,16,179,156,34,106,16,117,1
90,106,26,34,8,198,16,179,34,106,117,125,16,0
106,16,71,179,34,156,26,198,152,117,16,34,106,1
177,198,106,34,36,179,26,16,8,117,16,106,34,1
26,198,16,106,34,179,162,89,106,16,34,117,63,0
26,179,68,9,198,34,16,106,16,187,34,117,106,0
26,198,16,34,106,29,17,179,117,48,106,16,34,0
106,16,26,51,179,161,198,34,106,34,16,17,117,0
193,198,34,16,106,26,179,111,16,186,34,117,106,1
16,198,26,106,34,73,179,25,34,106,16,175,117,0
170,179,16,80,106,34,198,26,106,34,16,117,188,0
26,34,16,198,179,175,106,176,117,16,34,106,72,1
26,179,198,94,106,209,34,16,106,16,117,178,34,0
189,16,52,198,26,34,179,106,106,117,189,16,34,0
16,26,179,198,172,106,34,122,34,25,16,106,117,1
16,106,198,179,122,34,162,26,117,33,34,106,16,1
26,34,31,19,16,198,106,179,117,106,16,34,156,0
198,26,16,34,207,179,84,106,117,16,152,34,106,1
32,16,179,34,106,198,26,158,92,106,16,34,117,0
106,82,198,179,10,26,16,34,106,16,149,117,34,0
16,26,6,179,106,161,34,198,117,106,16,34,62,1
118,16,34,179,198,106,196,26,104,16,34,117,106,1
34,106,197,166,26,198,179,16,16,34,178,106,117,1
198,206,106,26,179,34,116,16,34,16,106,117,12,1
179,16,26,106,35,198,34,175,16,150,106,34,117,1
184,106,16,179,26,125,34,198,34,20,106,117,16,0
34,179,198,16,106,104,96,26,58,106,16,117,34,0
16,26,106,153,179,34,198,142,16,106,197,34,117,0
198,26,34,129,106,118,179,16,106,195,34,117,16,0
34,179,16,106,26,198,119,58,16,34,117,106,100,1
106,34,212,179,16,31,198,26,114,106,117,16,34,0
26,16,34,64,198,179,48,106,134,34,117,106,16,1
106,34,198,93,179,16,26,94,106,34,16,117,153,1
106,198,200,179,34,16,26,128,117,189,34,106,16,0
93,34,6,198,26,106,179,16,16,117,83,34,106,1
34,106,26,29,179,16,124,198,1,34,117,16,106,1
179,177,106,198,26,16,34,212,34,16,106,117,186,1
179,198,34,76,106,16,26,96,36,106,34,16,117,0
16,119,106,179,37,26,34,198,106,7,117,34,16,0
16,77,34,106,31,26,198,179,117,34,152,106,16,1
34,179,106,28,182,198,16,26,106,58,34,16,117,0
34,26,179,126,16,106,198,197,5,106,117,16,34,1
16,198,26,106,34,139,179,53,106,34,117,16,212,0
106,189,26,198,16,34,179,107,117,134,106,34,16,1
106,153,26,165,16,179,198,34,32,16,106,34,117,0
34,201,26,198,106,16,179,210,106,34,16,63,117,1
6,26,34,198,16,109,106,179,34,106,16,80,117,1
16,179,198,106,112,34,125,26,106,167,34,117,16,0
16,106,179,198,91,34,134,26,118,34,117,16,106,0
106,26,198,148,179,34,16,94,106,117,34,63,16,1
165,198,106,26,34,150,16,179,106,117,75,16,34,1
90,16,106,198,149,34,26,179,153,106,34,16,117,1
26,198,34,61,180,16,179,106,34,106,117,67,16,1
106,34,16,198,26,24,179,194,106,16,34,117,149,0
198,25,106,26,16,34,179,35,212,117,34,106,16,0
172,26,80,179,16,106,198,34,34,16,106,117,62,1
198,34,16,179,19,26,42,106,117,153,34,106,16,1
102,34,198,106,94,26,179,16,34,117,189,106,16,0
198,47,26,136,106,179,16,34,34,117,16,195,106,0
34,106,16,198,26,19,179,211,212,34,117,106,16,1
106,26,198,179,16,44,34,92,34,106,117,16,10,1
34,16,142,26,198,106,92,179,117,16,188,34,106,1
33,179,210,198,26,106,34,16,117,106,16,34,104,1
34,26,16,198,179,81,106,18,117,106,124,34,16,0
190,198,16,67,106,34,26,179,185,34,16,117,106,0
26,16,198,34,179,106,121,212,106,16,199,34,117,1
152,198,23,179,16,34,106,26,117,34,48,106,16,0
60,26,198,212,16,106,34,179,34,106,117,16,207,0
154,34,26,106,16,179,198,38,106,16,45,34,117,0
16,127,198,26,125,34,106,179,32,106,34,16,117,0
106,63,16,34,26,54,179,198,89,106,117,16,34,1
34,179,45,116,16,106,198,26,34,16,106,189,117,0
38,179,26,16,34,106,198,17,106,122,16,117,34,0
26,115,106,16,34,179,198,78,106,34,16,1,117,1
179,34,130,199,26,106,16,198,92,16,117,106,34,0
34,16,89,179,198,106,44,26,56,106,34,117,16,1
26,34,16,106,179,198,181,88,34,117,16,106,53,1
9,16,98,34,198,179,26,106,16,106,34,117,167,0
20,34,198,26,164,106,179,16,117,34,106,16,36,0
34,16,106,26,192,198,179,62,16,153,106,34,117,0
97,34,198,179,26,16,178,106,16,180,106,34,117,1
34,106,179,26,135,153,198,16,106,34,117,45,16,0
198,106,78,16,184,179,26,34,34,159,16,106,117,1
16,26,106,34,210,179,198,89,117,34,16,77,106,0
198,186,34,179,26,106,132,16,208,34,16,106,117,0
179,106,198,4,26,168,16,34,106,16,1,34,117,1
34,106,26,200,134,16,179,198,34,18,117,106,16,1
156,106,16,34,26,198,179,108,34,106,212,16,117,1
179,34,16,6,26,130,198,106,117,16,77,34,106,1
211,26,198,34,106,179,16,193,34,106,195,117,16,0
198,16,106,34,26,148,10,179,6,117,34,16,106,1
26,179,184,198,16,106,34,201,180,117,106,34,16,1
34,198,16,106,170,179,26,193,187,34,117,106,16,0
16,201,198,179,26,34,35,106,34,106,16,117,9,1
198,179,34,26,106,8,16,61,34,106,16,194,117,0
34,179,198,50,26,16,114,106,117,106,16,9,34,1
26,137,179,34,67,16,106,198,89,34,16,106,117,1
26,106,34,198,77,97,16,179,16,104,34,106,117,1
106,16,198,26,94,179,126,34,16,106,180,117,34,0
7,26,144,16,106,198,179,34,16,106,101,34,117,1
198,179,115,106,26,34,207,16,16,117,101,106,34,1
16,72,106,34,151,179,26,198,117,16,124,34,106,0
16,106,198,206,179,26,98,34,106,159,117,16,34,1
26,52,179,204,106,16,198,34,16,106,134,117,34,0
198,179,106,34,1,27,26,16,25,34,16,117,106,1
179,24,106,16,34,26,168,198,16,34,25,117,106,1
63,198,106,34,16,26,82,179,149,16,117,106,34,0
34,179,106,66,60,198,26,16,16,117,34,106,213,0
130,179,26,48,34,198,16,106,12,34,16,106,117,1
198,16,179,26,106,34,1,79,34,117,106,159,16,0
26,204,106,179,198,68,16,34,117,34,106,189,16,0
106,97,179,16,198,26,100,34,34,16,195,117,106,0
106,155,198,16,26,179,34,208,34,106,117,16,185,0
179,34,26,74,106,16,67,198,106,117,16,34,17,0
132,118,179,106,34,16,26,198,34,16,106,117,89,1
151,198,34,26,106,16,179,72,117,16,182,106,34,0
16,77,26,106,34,198,179,0,16,8,117,106,34,1
198,26,106,193,16,112,34,179,159,16,117,34,106,1
142,26,34,198,106,16,179,204,117,16,34,106,154,1
34,106,16,93,133,179,26,198,16,34,117,106,136,1
198,179,106,26,34,16,197,11,106,7,16,34,117,1
198,16,179,106,26,34,77,209,106,117,34,181,16,1
16,179,106,34,32,198,26,35,106,34,117,16,7,0
16,179,213,198,106,93,26,34,34,117,106,16,150,1
179,34,106,110,16,26,198,19,16,152,106,34,117,1
26,179,106,198,112,16,10,34,106,34,16,19,117,1
149,15,26,106,179,198,34,16,16,18,34,117,106,1
26,34,16,179,94,198,106,2,106,117,16,194,34,1
179,26,74,106,56,198,16,34,185,16,34,117,106,0
16,106,26,204,144,34,179,198,16,58,34,117,106,0
198,104,147,26,34,16,106,179,117,34,136,106,16,1
26,179,198,32,106,16,143,34,16,117,34,106,195,0
106,198,16,34,179,136,155,26,106,34,16,117,188,0
120,198,179,26,167,16,106,34,117,51,106,34,16,1
179,34,106,111,198,19,16,26,34,32,106,16,117,1
16,198,106,179,33,30,26,34,117,106,34,51,16,1
106,179,34,198,16,100,26,68,16,106,34,45,117,0
16,198,106,26,34,179,13,193,101,34,117,16,106,1
106,179,34,198,80,69,26,16,16,117,168,106,34,1
106,16,156,96,198,179,34,26,6,34,117,106,16,1
16,35,26,198,208,34,179,106,16,34,1,117,106,1
179,16,198,34,187,26,132,106,106,41,117,16,34,1
26,153,34,106,16,198,172,179,34,16,106,168,117,0
106,198,179,16,26,8,203,34,106,33,117,34,16,0
179,34,145,16,5,26,198,106,125,106,16,117,34,1
179,26,16,62,34,115,198,106,16,34,117,206,106,0
106,34,192,179,198,26,16,154,16,156,106,117,34,0
195,106,179,34,198,16,68,26,16,106,117,34,206,1
207,198,26,34,106,145,179,16,106,34,100,16,117,1
198,179,106,34,92,16,26,131,16,117,34,106,43,1
34,16,30,51,198,179,26,106,34,16,106,117,67,0
198,28,106,26,56,16,34,179,34,106,117,193,16,0
26,106,145,34,179,16,198,6,106,34,16,48,117,0
179,26,198,106,16,123,34,188,106,117,92,16,34,0
179,106,26,16,94,198,34,177,100,106,117,34,16,1
16,198,104,34,84,179,106,26,16,106,51,117,34,0
16,160,198,179,34,106,206,26,34,117,100,106,16,1
198,151,106,16,34,26,179,67,34,167,106,117,16,0
110,34,179,16,106,183,26,198,16,106,194,117,34,1
139,34,16,183,26,106,198,179,9,106,16,117,34,1
26,34,16,198,65,19,179,106,34,16,106,117,194,1
106,125,34,16,179,26,70,198,41,117,106,34,16,1
198,26,34,16,179,63,106,85,106,16,34,117,156,0
189,198,26,16,59,34,106,179,117,207,34,106,16,0
26,179,42,34,16,168,106,198,45,106,16,34,117,0
129,198,194,34,106,179,26,16,34,106,43,117,16,0
26,149,126,179,34,16,198,106,16,106,117,180,34,1
85,26,16,106,34,156,179,198,34,106,208,117,16,1
198,34,203,179,8,16,106,26,208,106,34,117,16,0
141,198,34,16,26,32,179,106,117,106,8,16,34,1
159,106,198,34,16,107,26,179,34,16,106,117,178,0
106,186,34,179,16,26,198,210,16,106,156,34,117,0
16,189,26,198,106,174,179,34,34,16,106,117,48,1
16,26,198,50,34,106,179,153,103,117,106,16,34,0
106,162,34,16,179,26,185,198,106,51,34,117,16,1
199,106,34,198,26,131,179,16,106,117,34,16,53,1
198,106,26,16,34,50,179,133,182,106,16,117,34,1
106,34,26,198,179,16,53,35,34,117,106,124,16,0
106,16,34,179,76,198,210,26,16,106,89,117,34,1
179,106,90,16,26,34,55,198,106,16,117,183,34,1
198,26,106,179,84,16,34,40,16,34,41,117,106,1
26,172,34,16,179,198,178,106,34,76,16,117,106,1
211,106,198,34,16,179,26,167,178,106,34,16,117,1
34,179,198,31,106,89,16,26,117,25,106,16,34,1
34,172,16,106,63,26,179,198,213,106,117,16,34,0
208,16,26,179,14,34,198,106,117,34,72,106,16,1
26,179,16,198,15,106,34,41,117,16,106,201,34,0
179,198,72,34,16,26,120,106,106,16,122,34,117,0
198,26,179,3,16,106,159,34,117,16,8,34,106,0
24,179,16,36,106,198,34,26,117,34,16,106,10,0
16,26,100,106,34,166,179,198,153,117,106,34,16,0
26,34,198,106,74,16,193,179,5,34,117,106,16,0
198,16,106,148,34,56,26,179,16,106,34,117,58,0
55,34,26,106,179,203,198,16,34,16,117,125,106,1
34,0,106,26,198,16,179,37,16,34,106,117,89,0
106,16,34,179,198,25,112,26,34,16,117,106,134,0
34,198,179,16,200,26,106,8,34,106,117,104,16,1
26,102,34,198,17,179,16,106,106,53,34,117,16,1
26,16,106,179,38,153,34,198,117,89,34,106,16,1
26,16,34,28,179,106,189,198,34,117,106,16,204,1
34,16,179,106,108,198,58,26,34,16,106,117,133,1
26,16,34,179,110,198,106,128,34,106,104,117,16,1
16,106,187,179,26,198,34,65,106,34,117,36,16,1
106,198,179,26,109,16,124,34,106,117,16,34,122,0
16,181,179,198,27,106,26,34,189,117,16,34,106,0
37,198,96,106,16,179,34,26,34,204,16,117,106,0
22,16,198,26,34,106,179,195,16,117,18,106,34,1
209,6,106,198,26,179,34,16,16,117,34,6,106,0
16,34,182,106,26,61,179,198,16,106,34,32,117,0
106,179,198,26,34,107,101,16,181,106,34,16,117,1
26,16,137,34,198,124,106,179,117,186,106,16,34,1
26,16,34,212,27,106,198,179,34,117,16,36,106,0
26,198,180,16,196,179,34,106,76,106,34,117,16,1
120,106,198,16,34,26,182,179,34,16,53,106,117,1
179,198,34,113,26,16,55,106,180,34,117,106,16,1
34,197,16,131,179,198,26,106,117,106,136,34,16,1
198,83,26,106,16,179,34,88,34,106,117,133,16,1
16,26,133,106,137,179,34,198,208,16,117,106,34,0
197,16,106,26,198,179,70,34,189,106,34,117,16,0
157,106,34,16,179,198,26,75,34,106,117,16,76,0
193,198,179,16,106,34,86,26,34,76,16,117,106,1
26,55,106,60,16,179,198,34,34,117,106,43,16,1
106,185,26,198,179,34,38,16,159,117,16,34,106,1
106,34,198,12,179,142,16,26,117,51,16,106,34,1
198,49,16,26,34,179,48,106,34,149,106,16,117,0
16,34,198,148,19,26,179,106,5,16,106,34,117,0
34,106,16,202,26,198,83,179,34,122,16,117,106,0
16,34,141,80,198,179,26,106,16,106,117,195,34,0
125,16,179,106,191,26,198,34,106,17,117,34,16,0
106,16,34,72,15,198,179,26,34,188,106,16,117,0
16,26,198,106,194,179,79,34,106,16,199,34,117,0
26,179,106,34,193,198,22,16,106,117,16,34,36,0
198,26,122,16,106,34,98,179,16,106,34,117,17,1
106,150,34,26,82,198,179,16,16,106,117,72,34,1
144,36,179,34,198,26,16,106,6,117,106,34,16,1
26,27,16,34,106,179,198,188,106,16,117,34,114,0
179,16,26,147,198,106,194,34,34,118,117,16,106,0
34,99,106,16,198,83,179,26,34,103,117,106,16,1
144,16,34,198,122,179,106,26,16,187,117,106,34,0
106,44,16,34,26,198,179,12,34,106,16,12,117,0
16,26,106,34,179,108,128,198,67,34,106,16,117,1
106,26,48,174,198,16,34,179,117,16,34,106,9,1
82,106,16,179,63,26,34,198,75,16,117,34,106,1
179,198,34,16,106,208,26,74,117,106,34,122,16,0
102,106,41,16,26,198,34,179,106,34,117,10,16,0
26,198,7,34,179,192,16,106,106,25,34,117,16,1
57,179,26,198,34,16,106,125,34,106,9,117,16,0
179,34,168,140,106,26,16,198,106,5,16,34,117,0
106,26,179,34,202,198,16,188,34,106,16,62,117,1
16,179,67,106,34,26,191,198,117,16,34,106,193,0
26,16,106,198,179,34,63,98,153,16,106,34,117,1
179,49,26,198,118,106,34,16,1,106,16,34,117,1
179,153,106,16,30,26,34,198,117,34,16,106,36,0
26,16,198,106,34,208,179,174,34,16,83,117,106,1
198,179,26,34,106,16,56,2,34,117,106,55,16,0
60,118,179,26,16,106,34,198,106,117,34,16,80,1
49,26,198,106,9,16,179,34,106,16,1,34,117,1
89,34,155,106,179,198,26,16,117,106,16,34,100,1
179,26,106,34,181,70,198,16,117,34,106,133,16,0
73,179,16,80,106,34,198,26,34,16,117,213,106,0
16,106,198,183,161,34,26,179,16,106,150,117,34,1
106,26,16,179,173,198,25,34,106,34,117,105,16,0
179,58,198,106,26,160,34,16,34,106,32,117,16,1
26,195,34,198,155,106,179,16,12,16,117,34,106,1
26,179,34,106,16,198,141,133,154,34,16,117,106,1
16,26,34,106,35,10,198,179,80,117,16,34,106,1
186,34,179,106,16,198,26,155,117,201,16,106,34,0
34,108,106,179,26,198,16,197,117,34,16,106,76,1
198,16,26,34,106,179,75,15,16,117,34,106,134,0
198,187,91,16,179,106,26,34,16,34,117,9,106,1
198,168,95,34,106,26,16,179,106,16,117,182,34,1
4,36,16,198,179,34,106,26,106,34,117,48,16,0
16,96,101,198,106,179,26,34,117,134,106,16,34,0
70,34,106,179,16,198,181,26,56,117,16,34,106,0
179,16,106,26,198,175,211,34,106,16,34,117,125,1
16,128,106,34,162,26,198,179,106,34,117,16,186,1
106,43,87,198,34,16,179,26,117,114,34,106,16,0
106,142,63,26,179,198,16,34,117,16,34,193,106,0
75,16,179,106,198,26,34,30,51,117,34,106,16,0
16,106,6,179,34,68,26,198,8,34,106,16,117,1
106,198,26,11,34,179,16,167,75,34,117,16,106,1
34,106,198,134,172,179,16,26,34,1,16,106,117,1
106,16,26,74,152,34,198,179,16,117,199,34,106,0
26,106,34,126,12,198,16,179,25,16,117,106,34,1
21,150,16,106,179,198,34,26,34,16,117,106,156,0
26,5,34,16,106,179,139,198,34,106,55,16,117,0
179,184,187,16,26,34,198,106,117,56,34,16,106,1
103,179,198,26,57,106,16,34,16,178,106,34,117,0
179,106,26,34,16,1,198,205,106,34,16,117,63,0
198,179,28,26,34,153,16,106,16,117,34,18,106,1
26,104,16,198,95,179,34,106,103,117,34,16,106,0
26,198,16,127,34,106,180,179,117,106,16,114,34,1
106,16,182,26,96,179,198,34,117,106,208,16,34,0
198,16,105,179,95,34,26,106,16,34,94,117,106,0
179,198,106,199,26,165,34,16,106,89,34,117,16,1
16,43,106,169,198,179,26,34,117,16,133,106,34,1
26,124,108,34,179,16,198,106,117,16,34,18,106,1
106,179,26,61,72,16,198,34,34,16,117,194,106,0
34,14,16,198,106,179,26,66,106,34,168,16,117,1
26,179,16,34,198,106,125,172,16,117,34,8,106,1
26,198,179,34,106,16,6,46,16,34,106,103,117,1
179,16,26,34,119,5,106,198,34,128,16,117,106,1
102,26,106,16,159,34,179,198,194,16,34,106,117,0
106,165,16,34,198,152,179,26,117,16,34,106,7,0
198,179,16,106,200,26,76,34,34,16,104,106,117,1
161,26,198,34,106,179,114,16,16,6,117,34,106,0
26,198,106,60,92,34,16,179,34,106,117,67,16,1
16,145,26,198,179,106,182,34,106,16,34,204,117,0
106,179,196,198,16,34,26,7,16,1,106,117,34,1
142,198,26,18,34,16,106,179,34,41,117,106,16,1
143,16,7,106,34,179,198,26,117,16,181,34,106,1
16,34,106,5,179,198,26,30,16,117,106,153,34,1
118,34,16,126,198,179,26,106,16,106,117,56,34,1
152,198,16,26,34,155,179,106,16,117,34,12,106,0
179,34,16,75,202,106,26,198,16,117,34,183,106,0
16,34,179,26,198,106,212,3,56,117,106,34,16,1
198,7,16,106,26,179,65,34,16,94,117,34,106,1
106,16,26,198,179,64,63,34,106,34,16,181,117,1
83,106,26,198,16,47,179,34,16,117,185,34,106,0
198,106,26,179,180,34,16,38,117,106,16,201,34,0
34,198,179,180,69,26,106,16,106,16,34,117,20,1
16,198,61,40,34,26,106,179,20,16,106,117,34,0
198,26,179,16,199,106,34,59,34,117,106,18,16,1
198,106,26,170,179,16,62,34,124,117,106,16,34,0
198,16,26,7,34,106,162,179,34,16,106,12,117,1
